releaseDate,title,artists,brand,formats
2026-05-19,Heart of Gold Samba,Christian O'Kefee,Adidas x LAFC ,Broadcast
2026-04-24,Aida Morrow,Christian O'Kefee,LAFC x Beats by Dre,Broadcast
2026-04-04,Community Kit Launch 2021,Christian O'Kefee,LAFC,Broadcast
2026-03-15,Tony Leone,Christian O'Kefee,LAFC x Beats by Dre,Broadcast
2026-02-23,Keep It Kayfabe (Trailer),Christian O'Kefee,,Trailer
2026-02-03,The Other Side of Paradise (Trailer),Christian O'Kefee,,Trailer
2026-01-14,"David the Peruvian  ""Save this Kid""",Christian O'Kefee,,Music Video
2025-12-25,DJ Flict x Cypress Hill x SHAVO “REPPIN THE CITY”,Christian O'Kefee,,Music Video
2025-12-10,Gia Glider,Christian O'Kefee,Liverpool Jeans,Broadcast
2025-11-30,"Gracie Gray ""Morphine""",Christian O'Kefee,,Music Video
2025-11-20,Celebrations,Christian O'Kefee,Pintrest,Broadcast
2025-11-10,Courtney Poe,Christian O'Kefee,Nike,Broadcast
2025-10-31,Reheat,Christian O'Kefee,Nike x Fiba,Broadcast
2025-10-21,Messi Mania (Trailer),Christian O'Kefee,MLS,Trailer
2025-10-11,"
Bob Marley: LEGACY ""Rhythm of the Game"" (Trailer)",Christian O'Kefee,,Trailer
2025-10-01,Bad Roomate,Christian O'Kefee,American Financing,Broadcast
2025-09-26,Birthday Wish,Christian O'Kefee,American Financing,Broadcast
2025-09-21,Noisy Neighbor,Christian O'Kefee,American Financing,Broadcast
2025-09-16,Run the Numbers,Christian O'Kefee,American Financing,Broadcast
2025-09-11,Behind the Design with Ross Klienb,Christian O'Kefee,Nike x Fiba,
2025-09-06,Manchester United x Snapdragon (30),Christian O'Kefee,,
2025-09-01,Manchester United x Snapdragon (90),Christian O'Kefee,,
2025-08-27,Chappell Roan,Christian O'Kefee,Google Pixel,Mobile
2025-08-22,Destination Defender,Christian O'Kefee,,Mobile